"416","289, 30, 47"
"430","69, 67, 66"
"668","23, 153, 33, 41"
"688","34, 65"
"699","80, 67, 26, 72, 27"
"712","53, 33, 481"
"749","27, 80, 67, 26, 72"
"755","49, 62, 73, 28, 97, 67, 25, 58, 29, 74, 66, 26, 59"
"813","34, 64"
"816","350, 27, 23, 30, 38, 80, 47, 97, 25, 58, 26"
"819","34, 64, 65"
"822","69, 28, 67, 97, 74, 66, 26"
"836","26, 75, 54, 33"
"859","153, 23, 41, 33"
"917","26, 27, 42, 62, 23, 30, 80, 47, 29, 67, 97, 25, 58, 74, 66"
"935","23, 34, 64, 65"
"941","23, 34, 64, 65"
"942","33, 79, 55, 27, 23, 41"
"981","23, 34, 64, 65"
"989","64, 65, 23, 34"
"998","33, 79, 27, 52"
"999","33, 207"
"1022","41, 33, 51, 23"
"1023","45, 23, 41, 55, 79, 33, 27"
"1024","227, 33, 24"
"1025","26, 73, 62, 30, 47, 25, 58, 59"
"1110","75, 26, 60, 73, 62, 67, 97, 25, 58, 66"
"1126","481, 53, 33"
"1128","26, 62, 67, 97, 72, 25"
"1129","481, 53, 33"
"1148","34, 64, 33"
"1156","289, 30, 24, 47"
"1167","52, 33"
"1186","27, 52, 33"
"1193","52, 33"
"1233","23, 33, 41, 55"
"1255","23, 33, 55"
"1274","23, 33, 41, 55"
"1286","23, 42, 31"
"1292","45, 79, 33, 41, 23, 55, 499, 27"
"1307","45, 79, 33, 41, 23, 55, 27"
"1333","25, 481, 26, 28, 42, 23, 62, 74, 67, 97, 58, 72, 66"
"1345","33, 262"
"1365","97, 66, 69, 26, 67"
"1379","25, 39, 288, 23, 62"
"1390","41, 33, 51, 23"
"1391","67, 26, 68"
"1392","68, 26, 33, 51"
"1428","72, 67, 80, 26, 27"
"1434","26, 27, 68, 72, 67, 80"
"1440","23, 26, 27, 72, 45, 80"
"1442","23, 350, 26, 27, 72, 38, 80"
"1453","23, 68, 26, 27, 72, 79, 24, 54, 33, 80"
"1465","80, 23, 68, 26, 27, 79"
"1476","33, 153, 23, 41"
"1490","58, 33, 25, 23, 27, 79, 41, 55, 62"
"1491","62, 58, 33, 25, 23, 27, 41, 55"
"1492","41, 55, 62, 58, 33, 25, 23, 27, 79"
"1502","39, 33, 207, 23"
"1514","62, 58, 39, 33, 25, 207, 23"
"1519","39, 33, 207, 23"
"1525","52, 33"
"1528","52, 481, 33"
"1532","52, 481, 33"
"1533","52, 33"
"1537","23, 33, 287, 70, 26"
"1582","289, 30, 47, 24"
"1600","33, 52"
"1612","33, 481, 52"
