"416","10.5","0","10.5","1","hour","1","13","a:0:{}","a:0:{}","a:8:{i:2836;s:2:""63"";i:2837;s:4:""73.5"";i:2838;s:2:""84"";i:2839;s:4:""94.5"";i:2840;s:3:""105"";i:2841;s:5:""115.5"";i:2842;s:3:""126"";i:2843;s:5:""126.5"";}"
"430","40","40","0","4","hour","1","5","What's Included
•	Entrance fees to attractions
•	Checkpoint formalities (e.g. border fees)

What's Not Included
•	Lunch
•	Personal expenses
•	Optional activity costs

What to Remember
You will need to present your passport during the U.N. border crossing.
Please bring or wear clothing appropriate for visiting churches and monasteries.","a:4:{i:0;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""20"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""2"";s:2:""to"";s:1:""2"";}i:1;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""30"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""3"";s:2:""to"";s:1:""3"";}i:2;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""40"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""4"";s:2:""to"";s:1:""4"";}i:3;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""50"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""5"";s:2:""to"";s:1:""5"";}}","a:1:{i:475;s:0:"""";}"
"859","75","75","75","4","hour","1","2","a:0:{}","a:1:{i:0;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""35"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""2"";s:2:""to"";s:1:""2"";}}","a:2:{i:913;s:0:"""";i:914;s:2:""30"";}"
"862","0","0","0","1","hour","1","0","a:0:{}",NULL,"a:0:{}"
"917","0","0","0","1","hour","1","4","a:0:{}","a:0:{}","a:0:{}"
"935","30","30","0","1","hour","1","8","Please notify if you would like to have yoga matt provided for you. Don't forget to put on comfortable clothes, something you can move around easily with. Be prepared for your feet to get dirty or wet. You will also need a towel and a spare clean tshirt.
","a:4:{i:0;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""20"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""2"";s:2:""to"";s:1:""2"";}i:1;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""30"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""3"";s:2:""to"";s:1:""3"";}i:2;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""35"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""4"";s:2:""to"";s:1:""4"";}i:3;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""40"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""5"";s:2:""to"";s:1:""8"";}}","a:0:{}"
"936","0","0","0","1","hour","1","0","a:0:{}","a:0:{}","a:0:{}"
"941","30","30","0","60","minute","1","10","a:0:{}","a:9:{i:0;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:0:"""";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""2"";s:2:""to"";s:1:""2"";}i:1;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:0:"""";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""3"";s:2:""to"";s:1:""3"";}i:2;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:1:""2"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""4"";s:2:""to"";s:1:""4"";}i:3;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""10"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""5"";s:2:""to"";s:1:""5"";}i:4;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""18"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""6"";s:2:""to"";s:1:""6"";}i:5;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""26"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""7"";s:2:""to"";s:1:""7"";}i:6;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""34"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""8"";s:2:""to"";s:1:""8"";}i:7;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""42"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""9"";s:2:""to"";s:1:""9"";}i:8;a:7:{s:4:""type"";s:6:""custom"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""50"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:2:""10"";s:2:""to"";s:2:""10"";}}","a:0:{}"
"942","60","60","60","4","hour","1","5","a:0:{}","a:1:{i:0;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""40"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""2"";s:2:""to"";s:1:""2"";}}","a:2:{i:913;s:0:"""";i:914;s:2:""40"";}"
"981","80","80","80","3","hour","2","10","a:0:{}","a:0:{}","a:0:{}"
"989","30","30","0","75","minute","1","10","a:0:{}","a:9:{i:0;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""30"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""2"";s:2:""to"";s:1:""2"";}i:1;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""60"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""3"";s:2:""to"";s:1:""3"";}i:2;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""90"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""4"";s:2:""to"";s:1:""4"";}i:3;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""110"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""5"";s:2:""to"";s:1:""5"";}i:4;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""130"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""6"";s:2:""to"";s:1:""6"";}i:5;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""150"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""7"";s:2:""to"";s:1:""7"";}i:6;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""170"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""8"";s:2:""to"";s:1:""8"";}i:7;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""190"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""9"";s:2:""to"";s:1:""9"";}i:8;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""210"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:2:""10"";s:2:""to"";s:2:""10"";}}","a:0:{}"
"998","0","0","0","2","hour","1","3","a:0:{}","a:0:{}","a:0:{}"
"999","30","30","0","1","hour","1","6","a:0:{}","a:0:{}","a:0:{}"
"1022","25","25","25","3","hour","10","60","a:0:{}","a:0:{}","a:0:{}"
"1023","80","80","0","1","hour","1","15","a:0:{}","a:0:{}","a:0:{}"
"1024","35","35","0","1","hour","1","15","a:0:{}","a:0:{}","a:4:{i:1032;s:0:"""";i:1030;s:0:"""";i:1029;s:1:""5"";i:1031;s:2:""10"";}"
"1025","40","20","40","1","hour","1","10","a:0:{}","a:0:{}","a:8:{i:2809;s:0:"""";i:2810;s:1:""4"";i:2813;s:2:""20"";i:2814;s:2:""28"";i:2815;s:1:""3"";i:2816;s:1:""7"";i:2817;s:2:""26"";i:2818;s:2:""34"";}"
"1110","40","40","0","1","hour","1","4","a:0:{}","a:0:{}","a:0:{}"
"1126","450","450","0","8","hour","1","2","a:0:{}","a:1:{i:0;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""250"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""2"";s:2:""to"";s:1:""2"";}}","a:0:{}"
"1128","85","170","85","1","hour","2","7","a:0:{}","a:0:{}","a:2:{i:1228;s:0:"""";i:1229;s:2:""30"";}"
"1129","450","450","0","8","hour","1","2","a:0:{}","a:1:{i:0;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""350"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""2"";s:2:""to"";s:1:""2"";}}","a:0:{}"
"1148","25","25","0","12","hour","1","13","a:0:{}","a:0:{}","a:4:{i:1032;s:0:"""";i:1029;s:1:""9"";i:1030;s:1:""9"";i:1031;s:2:""10"";}"
"1156","53","53","0","12","hour","1","10","a:0:{}","a:0:{}","a:0:{}"
"1167","22","22","0","1","hour","1","10","a:0:{}","a:0:{}","a:10:{i:1168;s:0:"""";i:1169;s:2:""78"";i:1170;s:3:""178"";i:1171;s:3:""278"";i:1175;s:3:""338"";i:1177;s:1:""8"";i:1178;s:3:""118"";i:1179;s:3:""258"";i:1180;s:3:""398"";i:1181;s:3:""498"";}"
"1186","110","110","0","1","hour","1","10","a:0:{}","a:0:{}","a:2:{i:1188;s:0:"""";i:1189;s:1:""8"";}"
"1193","30","30","0","1","hour","1","10","a:0:{}","a:0:{}","a:2:{i:1188;s:0:"""";i:1189;s:1:""8"";}"
"1233","50","120","50","1","hour","1","10","a:0:{}","a:2:{i:0;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:0:"""";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""2"";s:2:""to"";s:1:""5"";}i:1;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""100"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""6"";s:2:""to"";s:2:""10"";}}","a:0:{}"
"1255","35","35","0","1","hour","1","3","a:0:{}","a:0:{}","a:0:{}"
"1274","60","60","0","2","hour","1","3","a:0:{}","a:2:{i:0;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""30"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""2"";s:2:""to"";s:1:""2"";}i:1;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""60"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""3"";s:2:""to"";s:1:""3"";}}","a:0:{}"
"1286","0","0","0","1","hour","1","15","a:0:{}","a:0:{}","a:0:{}"
"1292","117","117","0","1","hour","1","25","a:0:{}","a:2:{i:0;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""70"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:2:""15"";s:2:""to"";s:2:""25"";}i:1;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:0:"""";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""1"";s:2:""to"";s:2:""15"";}}","a:0:{}"
"1307","117","117","0","1","hour","1","25","a:0:{}","a:2:{i:0;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""70"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:2:""15"";s:2:""to"";s:2:""25"";}i:1;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:0:"""";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""1"";s:2:""to"";s:2:""15"";}}","a:0:{}"
"1333","625","1250","625","6","hour","2","4","a:0:{}","a:1:{i:0;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""650"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""3"";s:2:""to"";s:1:""4"";}}","a:0:{}"
"1345","67","10","67","2","hour","1","0","a:0:{}","a:0:{}","a:0:{}"
"1365","182","82","182","1","hour","1","4","a:0:{}","a:0:{}","a:0:{}"
"1379","45","45","45","1","hour","2","4","a:0:{}","a:0:{}","a:3:{i:1380;s:0:"""";i:1381;s:1:""5"";i:1382;s:2:""15"";}"
"1390","35","35","0","1","hour","1","30","a:0:{}","a:0:{}","a:0:{}"
"1391","15","15","15","3","hour","2","30","a:0:{}","a:0:{}","a:0:{}"
"1392","15","15","0","1","hour","1","30","a:0:{}","a:0:{}","a:3:{i:1424;s:0:"""";i:1425;s:2:""15"";i:1426;s:2:""25"";}"
"1428","60","60","0","1","hour","1","10","a:0:{}","a:9:{i:0;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:2:""60"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""2"";s:2:""to"";s:1:""2"";}i:1;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""120"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""3"";s:2:""to"";s:1:""3"";}i:2;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""180"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""4"";s:2:""to"";s:1:""4"";}i:3;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""210"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""5"";s:2:""to"";s:1:""5"";}i:4;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""264"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""6"";s:2:""to"";s:1:""6"";}i:5;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""318"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""7"";s:2:""to"";s:1:""7"";}i:6;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""372"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""8"";s:2:""to"";s:1:""8"";}i:7;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""426"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:1:""9"";s:2:""to"";s:1:""9"";}i:8;a:7:{s:4:""type"";s:7:""persons"";s:4:""cost"";s:0:"""";s:8:""modifier"";s:0:"""";s:9:""base_cost"";s:3:""480"";s:13:""base_modifier"";s:0:"""";s:4:""from"";s:2:""10"";s:2:""to"";s:2:""10"";}}","a:0:{}"
