"2837","7 people","2016-09-18 09:45:27","2016-09-18 09:49:29"
"2838","8 people","2016-09-18 09:45:42","2016-09-18 09:49:36"
"2839","9 people","2016-09-18 09:46:18","2016-09-18 09:49:42"
"2840","10 people","2016-09-18 09:50:24","2016-09-18 09:50:24"
"2841","11 people","2016-09-18 09:50:32","2016-09-18 09:50:32"
"2842","12 people","2016-09-18 09:50:54","2016-09-18 09:50:54"
"2843","13 people","2016-09-18 09:52:17","2016-09-18 09:52:17"
"3042","Dive in Limassol","2016-09-27 12:22:03","2016-09-27 12:22:03"
"3043","Dive in Akamos (meet at Latchi port)","2016-09-27 12:23:22","2016-09-27 12:26:40"
"3044","Dive in Paphos (inc journey from Limassol)","2016-09-27 12:23:28","2016-09-27 12:23:28"
"3045","Dive in Akamos (inc journey from Limassol)","2016-09-27 12:26:06","2016-09-27 12:26:06"
"3204","Drop in","2016-10-15 10:23:02","2016-10-15 10:23:02"
"3205","Private sessions","2016-10-15 10:25:39","2016-10-15 10:25:39"
"3266","April/May/October/November - Aloa 27 - 2 people","2016-10-19 13:39:44","2016-10-19 13:39:44"
"3267","April/May/October/November - Gib'Sea - 4 people","2016-10-19 13:40:14","2016-10-19 13:40:14"
"3284","April/May/October/November - Beneteau Oceanis 423 - 6 people","2016-10-19 13:53:18","2016-10-19 13:53:18"
"3285","April/May/October/November - Bavaria Cruiser 44 - 8 people","2016-10-19 13:54:55","2016-10-19 13:54:55"
"3287","June/September - Aloa 27 - 2 people","2016-10-19 18:16:36","2016-10-19 18:16:36"
"3288","June/September - Gib'Sea 422 - 4 people","2016-10-19 18:16:51","2016-10-19 18:16:51"
"3289","June/September - Beneteau Oceanis 423 - 6 people","2016-10-19 18:17:09","2016-10-19 18:17:09"
"3290","June/September - Bavaria Cruiser 44 - 8 people","2016-10-19 18:17:29","2016-10-19 18:17:29"
"3291","July/August - Aloa 27 - 2 people","2016-10-19 18:18:50","2016-10-19 18:18:50"
"3292","July/August - Gib'Sea 422 - 4 people","2016-10-19 18:18:59","2016-10-19 18:18:59"
"3293","July/August - Beneteau Oceanis 423 - 6 people","2016-10-19 18:19:07","2016-10-19 18:19:07"
"3294","July/August - Bavaria Cruiser 44 - 8 people","2016-10-19 18:19:17","2016-10-19 18:19:17"
"3299","Non-Diver","2016-10-20 12:55:42","2016-10-20 12:55:42"
"3300","2 Dives","2016-10-20 12:56:27","2016-10-20 12:56:27"
"3301","Snorkeling","2016-10-20 12:56:35","2016-10-20 12:56:35"
"3470","Child","2016-10-29 20:00:50","2016-10-29 20:00:50"
"3471","Adult","2016-10-29 20:00:55","2016-10-29 20:00:55"
"3480","Child (age 7-11)","2016-10-31 07:40:19","2017-01-08 10:28:54"
"3481","Adult (age 12+)","2016-10-31 07:40:30","2016-10-31 07:40:30"
"3589","Adult excluding entrance fees and lunch (dinner included)","2016-11-01 12:36:01","2016-11-01 12:36:01"
"3596","Child (Age 5-11)","2016-11-01 16:05:34","2016-11-01 16:05:34"
"3597","Adult (Age 12+)","2016-11-01 16:06:46","2016-11-01 16:43:49"
"3872","Governer's Beach","2016-11-20 19:09:49","2016-11-20 19:09:49"
"3873","Larnaca City","2016-11-20 19:10:18","2016-11-20 19:10:18"
"3884","Larnaca City Half-day","2016-11-20 19:57:11","2016-11-20 19:57:11"
"3885","Larnaca City Full-day","2016-11-20 19:57:24","2016-11-20 19:57:24"
"3886","Governer's Beach Half-day","2016-11-20 19:57:44","2016-11-20 19:57:44"
"3887","Governer's Beach Full-day","2016-11-20 19:57:58","2016-11-20 19:57:58"
"3924","Departure: Side, Child (7-11 age)","2016-12-01 17:53:32","2016-12-01 17:53:32"
"3925","Departure: Alanya, Child (7-11 age)","2016-12-01 17:53:45","2016-12-01 17:53:45"
"3926","Departure: Side, Adult","2016-12-01 17:53:56","2016-12-01 17:53:56"
"3927","Departure: Alanya, Adult","2016-12-01 17:54:07","2016-12-01 17:54:07"
"3938","Ayia Napa","2016-12-01 20:22:20","2016-12-27 08:17:10"
"3939","Protaras","2016-12-01 20:22:55","2016-12-01 20:22:55"
"3942","Agia Napa Half-day","2016-12-01 21:16:27","2016-12-01 21:16:27"
"3943","Agia Napa Full-day","2016-12-01 21:18:43","2016-12-01 21:18:43"
"3944","Protaras Half-day","2016-12-01 21:19:33","2016-12-01 21:19:33"
"3945","Protaras Full-day","2016-12-01 21:20:04","2016-12-01 21:20:04"
"3948","Paphos City","2016-12-01 21:59:29","2016-12-01 21:59:29"
"3949","Latchi","2016-12-01 21:59:53","2016-12-01 21:59:53"
"3951","Paphos City","2016-12-01 22:28:41","2016-12-01 22:28:41"
"3952","Latchi","2016-12-01 22:29:36","2016-12-01 22:29:36"
"3978","Single Buggy","2016-12-02 13:05:40","2016-12-02 13:05:40"
"3979","Double Buggy (2 people on 1 Buggy)","2016-12-02 13:06:04","2016-12-02 13:06:04"
"3991","Departure: Alanya","2016-12-02 16:17:44","2016-12-02 16:18:15"
"3992","Departure: Side","2016-12-02 16:18:02","2016-12-02 16:18:02"
"3993","Departure: Kemer","2016-12-02 16:18:38","2016-12-02 16:18:38"
"3994","Departure: Antalya","2016-12-02 16:18:54","2016-12-02 16:18:54"
"4003","Paphos City Half-day","2016-12-03 22:12:12","2016-12-03 22:12:12"
"4004","Paphos City Full-day","2016-12-03 22:12:30","2016-12-03 22:12:30"
"4005","Latchi Half-day","2016-12-03 22:12:51","2016-12-03 22:12:51"
"4006","Latchi Full-day","2016-12-03 22:13:09","2016-12-03 22:13:09"
"4153","First session","2016-12-19 14:53:40","2016-12-19 14:53:40"
"4154","Second session in sea","2016-12-19 14:53:58","2016-12-19 14:53:58"
"4155","First session with pictures and DVD","2016-12-19 14:54:18","2016-12-19 14:54:18"
"4157","Follow Up Dive","2016-12-19 15:13:13","2016-12-19 15:13:13"
"4200","Open Water Diver","2016-12-22 19:06:53","2016-12-22 19:06:53"
"4201","Private Open Water Diver","2016-12-22 19:07:17","2016-12-22 19:07:17"
"4238","Tank + Weights (2 Dives)","2016-12-26 09:41:06","2016-12-26 09:41:06"
"4239","Tank + Weights (3 Dives)","2016-12-26 09:41:13","2016-12-26 09:41:13"
"4240","Tank + Weights (4 Dives)","2016-12-26 09:41:23","2016-12-26 09:41:23"
"4241","Tank + Weights (6 Dives)","2016-12-26 09:41:40","2016-12-26 09:41:40"
"4242","Full Kit (2 Dives)","2016-12-26 09:41:56","2016-12-26 09:41:56"
"4243","Full Kit (3 Dives)","2016-12-26 09:42:05","2016-12-26 09:42:05"
"4244","Full Kit (4 Dives)","2016-12-26 09:42:14","2016-12-26 09:42:14"
"4245","Full Kit (6 Dives)","2016-12-26 09:42:25","2016-12-26 09:42:25"
"4246","Full Kit (7 Dives)","2016-12-26 09:42:33","2016-12-26 09:42:33"
"4247","Full Kit (8 Dives)","2016-12-26 09:42:46","2016-12-26 09:42:46"
"4248","Tank + Weights (7 Dives)","2016-12-26 09:42:57","2016-12-26 09:42:57"
"4249","Tank + Weights (8 Dives)","2016-12-26 09:43:03","2016-12-26 09:43:03"
"4318","Child (age 6 to12)","2017-01-07 09:43:35","2017-01-07 09:43:54"
"4319","Adult (age 13+)","2017-01-07 09:44:19","2017-01-07 09:44:19"
"4331","Child (age 7 - 12)","2017-01-08 09:34:19","2017-01-08 09:34:19"
"4419","1 Person 1 Session","2017-01-11 13:28:42","2017-01-11 13:29:29"
"4420","1 Person 4 Sessions","2017-01-11 13:29:00","2017-01-11 13:29:00"
"4421","1 Person 8 Sessions","2017-01-11 13:29:17","2017-01-11 13:29:17"
"4431","Adult (Cruise includes lunch, drinks are extra - Age 11+)","2017-01-11 15:31:56","2017-01-11 15:38:06"
"4432","Child (Cruise includes lunch, drinks are extra - Age 4-10)","2017-01-11 15:32:51","2017-01-11 15:38:11"
"4433","Adult (Cruise includes lunch, drinks [soft drinks, beer and wine] and 2hrs free time at Grand Bazaar - Age 11+)","2017-01-11 15:34:27","2017-01-11 15:38:01"
"4434","Child (Cruise includes lunch, drinks [soft drinks, beer and wine] and 2hrs free time at Grand Bazaar - Age 4-10)","2017-01-11 15:35:11","2017-01-11 15:37:57"
"4526","Child (4-6 age) with dinner and soft drinks","2017-01-20 09:23:14","2017-01-20 09:23:50"
"4527","Adult (7+ age) with dinner and soft drinks (alcohol drinks extra)","2017-01-20 09:23:44","2017-01-20 09:27:10"
"4528","Adult (18+ age) all inclusive with alcohol","2017-01-20 09:24:57","2017-01-20 09:24:57"
"4655","Pick-up from Famagusta","2017-01-27 10:46:12","2017-01-27 10:46:12"
"4656","Pick up from Nicosia","2017-01-27 10:46:19","2017-01-27 10:46:19"
"4657","Pick up from Kyrenia","2017-01-27 10:46:29","2017-01-27 10:46:29"
"4789","Child (Age 5 - 11)","2017-02-11 14:58:39","2017-02-11 14:58:39"
"4791","Child (Age 6 - 11)","2017-02-11 16:08:53","2017-02-11 16:08:53"
"5323","Season A - 2 People","2017-03-02 15:12:35","2017-03-02 15:12:35"
"5324","Season A - 3 People (1 room)","2017-03-02 15:12:57","2017-03-02 15:14:17"
"5325","Season A - 3 People (2 rooms)","2017-03-02 15:13:05","2017-03-02 15:14:22"
"5326","Season A - 4 People","2017-03-02 15:13:31","2017-03-02 15:13:31"
"5327","Season A - 5 People (2 rooms)","2017-03-02 15:13:48","2017-03-02 15:13:48"
"5328","Season A - 5 People (3 rooms)","2017-03-02 15:14:08","2017-03-02 15:14:56"
"5329","Season A - 6 People (3 rooms)","2017-03-02 15:14:50","2017-03-02 15:14:50"
"5331","Season A - 6 People (2 rooms)","2017-03-02 15:15:24","2017-03-02 15:48:44"
"5332","Season A - 7 People (3 rooms)","2017-03-02 15:15:45","2017-03-02 15:15:45"
"5335","Season A - 7 people ( 4 rooms)","2017-03-02 15:21:23","2017-03-02 15:21:23"
"5336","Season B - 2 People","2017-03-02 15:36:36","2017-03-02 15:36:36"
"5337","Season B - 3 People (1 room)","2017-03-02 15:36:53","2017-03-02 15:36:53"
"5338","Season B - 3 People (2 rooms)","2017-03-02 15:37:01","2017-03-02 15:37:01"
"5339","Season B - 4 People","2017-03-02 15:37:14","2017-03-02 15:37:14"
"5340","Season B - 5 People (2 rooms)","2017-03-02 15:37:23","2017-03-02 15:49:41"
"5341","Season B - 5 People (3 rooms)","2017-03-02 15:37:38","2017-03-02 15:50:07"
"5342","Season B - 6 people (2 rooms)","2017-03-02 15:49:14","2017-03-02 15:49:14"
"5343","Season B - 6 people (3 rooms)","2017-03-02 15:49:35","2017-03-02 15:49:35"
"5344","Season B - 7 people (3 rooms)","2017-03-02 15:49:57","2017-03-02 15:49:57"
"5345","Season B - 7 people (4 rooms)","2017-03-02 15:50:18","2017-03-02 15:50:18"
"5355","By bus 1 person","2017-03-05 14:37:40","2017-03-05 14:37:40"
"5356","By bus 2 people (total)","2017-03-05 14:37:46","2017-03-05 14:37:46"
"5357","By bus 3 people (total)","2017-03-05 14:37:50","2017-03-05 14:37:50"
"5358","By plane 1 person","2017-03-05 14:37:54","2017-03-05 14:37:54"
"5359","By plane 2 people (total)","2017-03-05 14:38:05","2017-03-05 14:38:05"
"5360","By plane 3 people (total)","2017-03-05 14:38:11","2017-03-05 14:38:11"
"5362","By bus Single Room","2017-03-05 14:54:54","2017-03-05 14:54:54"
"5363","By bus Double Room (total)","2017-03-05 14:54:59","2017-03-05 14:54:59"
"5364","By bus Triple Room (total)","2017-03-05 14:55:03","2017-03-05 14:55:03"
"5365","By plane Single Room","2017-03-05 14:55:07","2017-03-05 14:55:07"
"5366","By plane Double Room (total)","2017-03-05 14:55:14","2017-03-05 14:55:14"
"5367","By plane Triple Room (total)","2017-03-05 14:55:19","2017-03-05 14:55:19"
"5727","Pick up from Pyla","2017-04-12 10:14:31","2017-04-12 10:14:31"
"5858","Riding only","2017-04-20 15:36:58","2017-04-20 15:36:58"
"5859","Riding + brunch","2017-04-20 15:37:06","2017-04-20 15:37:06"
"5940","Pissouri","2017-04-28 09:50:25","2017-04-28 09:50:25"
"6038","Tour","2017-05-10 11:44:15","2017-05-10 11:44:15"
"6039","Tour & Bike Rental","2017-05-10 11:44:23","2017-05-10 11:44:23"
"6040","Bike transfer","2017-05-10 11:44:44","2017-05-10 11:44:44"
"6059","Single Quad","2017-05-10 19:15:52","2017-05-10 19:15:52"
"6060","Double Quad","2017-05-10 19:16:04","2017-05-10 19:16:04"
"6061","Buggy","2017-05-10 19:16:16","2017-05-10 19:16:16"
"6062","Single Quad","2017-05-10 19:19:58","2017-05-10 19:19:58"
"6063","Single Quad","2017-05-10 19:20:00","2017-05-10 19:20:00"
"6064","Double Quad","2017-05-10 19:20:12","2017-05-10 19:20:12"
"6065","Double Quad","2017-05-10 19:20:15","2017-05-10 19:20:15"
"6066","Buggy","2017-05-10 19:20:22","2017-05-10 19:20:22"
"6067","Buggy","2017-05-10 19:20:24","2017-05-10 19:20:24"
"6144","Pick up from Nicosia","2017-05-14 18:05:44","2017-05-14 18:05:44"
"6145","Pick up from Famagusta","2017-05-14 18:05:57","2017-05-14 18:05:57"
"6146","Pick up from Kyrenia","2017-05-14 18:06:13","2017-05-14 18:06:13"
