"416","289, 30, 47"
"430","66, 69, 67"
"668","33, 41, 23, 153"
"688","65, 34"
"699","26, 72, 27, 80, 67"
"712","33, 481, 53"
"749","26, 72, 27, 80, 67"
"755","25, 58, 29, 74, 66, 26, 59, 49, 62, 73, 28, 97, 67"
"813","34, 64"
"816","47, 97, 25, 58, 26, 350, 27, 23, 30, 38, 80"
"819","34, 64, 65"
"822","28, 67, 97, 74, 66, 26, 69"
"836","54, 33, 26, 75"
"859","41, 33, 153, 23"
"917","30, 80, 47, 29, 67, 97, 25, 58, 74, 66, 26, 27, 42, 62, 23"
"935","23, 34, 64, 65"
"941","23, 34, 64, 65"
"942","23, 41, 33, 79, 55, 27"
"981","23, 34, 64, 65"
"989","23, 34, 64, 65"
"998","27, 52, 33, 79"
"999","207, 33"
"1022","51, 23, 41, 33"
"1023","27, 45, 23, 41, 55, 79, 33"
"1024","33, 24, 227"
"1025","62, 30, 47, 25, 58, 59, 26, 73"
"1110","73, 62, 67, 97, 25, 58, 66, 75, 26, 60"
"1126","33, 481, 53"
"1128","26, 62, 67, 97, 72, 25"
"1129","33, 481, 53"
"1148","33, 34, 64"
"1156","30, 24, 47, 289"
"1167","52, 33"
"1186","27, 52, 33"
"1193","52, 33"
"1233","23, 33, 41, 55"
"1255","55, 23, 33"
"1274","55, 23, 33, 41"
"1286","23, 42, 31"
"1292","33, 41, 23, 55, 499, 27, 45, 79"
"1307","79, 33, 41, 23, 55, 27, 45"
"1333","26, 28, 42, 23, 62, 74, 67, 97, 58, 72, 66, 25, 481"
"1345","33, 262"
"1365","26, 67, 97, 66, 69"
"1379","288, 23, 62, 25, 39"
"1390","41, 33, 51, 23"
"1391","26, 68, 67"
"1392","26, 33, 51, 68"
"1428","80, 26, 27, 72, 67"
"1434","80, 26, 27, 68, 72, 67"
"1440","80, 23, 26, 27, 72, 45"
"1442","38, 80, 23, 350, 26, 27, 72"
"1453","79, 24, 54, 33, 80, 23, 68, 26, 27, 72"
"1465","79, 80, 23, 68, 26, 27"
"1476","41, 33, 153, 23"
"1490","23, 27, 79, 41, 55, 62, 58, 33, 25"
"1491","23, 27, 41, 55, 62, 58, 33, 25"
"1492","23, 27, 79, 41, 55, 62, 58, 33, 25"
"1502","207, 23, 39, 33"
"1514","33, 25, 207, 23, 62, 58, 39"
"1519","39, 33, 207, 23"
"1525","33, 52"
"1528","33, 52, 481"
"1532","33, 52, 481"
"1533","33, 52"
"1537","26, 23, 33, 287, 70"
"1582","30, 47, 24, 289"
"1600","52, 33"
"1612","481, 52, 33"
"1619","52, 33"
"1733","26, 51, 33, 75"
"1740","33, 75, 481, 26, 31, 41, 23, 51"
"1751","25, 26, 66, 62"
"1772","51, 67, 68"
"1774","25, 288, 30, 47, 23, 62, 58"
"1775","58, 25"
"1799","24, 31"
"1809","67, 62, 58, 28, 26, 25, 41, 66, 23, 69"
